,N,P,K,temperature,humidity,rainfall,label
465,70,40,36,22.6265115,69.76112921,52.84626009,Palay
466,80,46,38,18.04185513,63.93927841,55.03723979,Mais
467,88,47,37,26.88630675,60.19461399,54.62243308,Palay
468,78,56,41,31.33170829,62.04814951,59.03629954,Palay
469,68,55,40,33.30711818,68.10365387,52.93031105,Palay
470,71,36,42,23.45379018,69.29786244,56.52558045,Palay
471,64,41,36,34.53823889,63.22011726,53.15223123,Palay
472,84,39,41,19.50112224,63.68128841,50.46746116,Palay
473,71,38,40,28.76794904,68.03209183,39.23831035,Palay
474,89,37,38,30.97758716,65.44544859,44.17580911,Mais
475,82,37,39,18.39759147,65.47227704,45.48591922,Mais
476,64,36,44,35.09357419,65.73085206,56.09542002,Mais
477,83,42,36,34.93174223,67.10004577,41.39081525,Palay
478,85,41,41,29.50523036,68.93307305,57.99524359,Palay
479,67,45,40,34.51934775,61.09533545,43.15411472,Palay
480,68,43,40,28.43430726,67.40460704,50.91511275,Palay
481,68,47,38,18.41645629,63.39503184,43.78420984,Palay
482,91,56,38,31.07508973,63.46170674,49.50812624,Mais
483,66,54,36,20.89342749,62.50453062,36.45012824,Palay
484,82,36,37,30.90607799,66.895409,37.45680611,Palay
485,87,35,37,27.9348279,69.3159965,53.79732545,Palay
486,91,54,36,35.95176642,69.55863145,37.44800463,Palay
487,68,40,40,19.54317155,64.07691942,54.7960127,Palay
488,65,53,41,19.63736208,64.00213929,40.53173216,Palay
489,69,49,38,31.2192752,62.35557553,50.9246554,Palay
490,70,55,36,33.50876355,67.76252583,56.01913159,Palay
491,84,57,36,24.80710166,61.28633405,58.18713162,Palay
492,82,48,36,36.20970524,66.29327012,48.9366954,Palay
493,64,45,41,30.50420876,60.53657684,42.02483277,Palay
494,88,55,36,26.01630259,63.14909763,43.05130077,Palay
495,86,50,39,31.48469278,60.47528931,39.26137642,Palay
496,71,37,39,33.15122581,60.4989659,50.01534317,Palay
497,89,51,41,23.50222822,60.71367427,51.53848218,Palay
498,82,53,37,34.87248659,63.20915034,53.35486977,Palay
499,64,40,42,28.09269012,65.1034354,36.12042927,Palay
500,83,59,36,24.54757829,62.45851612,38.14476781,Palay
501,85,55,41,33.64769646,67.89815262,40.16545979,Palay
502,67,53,40,20.5591255,62.74710773,50.66487502,Palay
503,68,41,38,19.95991719,68.17543102,43.95183726,Palay
504,68,52,42,28.87667593,61.88321072,58.29933073,Palay
505,91,37,38,36.04353699,68.05394959,43.25095608,Palay
506,66,58,38,23.6734328,67.02664337,44.47427436,Palay
507,82,57,42,25.74679443,64.50515776,59.84499208,Palay
508,86,38,39,31.08564994,62.96841833,43.4826194,Palay
509,73,45,40,18.72987676,64.45268309,43.12063289,Palay
510,91,39,39,29.50304807,66.7729209,44.30070517,Palay
511,84,54,40,20.43517772,65.57653373,58.52974279,Palay
512,90,44,42,36.00415838,62.10652364,43.25726752,Palay
513,78,39,40,31.46846241,64.1123333,37.2464655,Palay
514,66,36,41,36.30049702,63.73086065,56.12443206,Palay
515,81,35,38,29.49096726,60.26854183,52.55469976,Palay
516,70,54,39,30.5753044,65.8108757,71.89090748,Palay
517,68,40,40,24.69487673,68.98088448,67.15096376,Palay
518,83,53,41,23.17409556,65.21662467,70.23207557,Palay
519,78,49,36,19.04380471,68.70533022,73.23573601,Palay
520,87,55,39,29.32379604,69.4073209,72.49507741,Palay
521,83,56,39,34.6455408,63.13215259,62.26242533,Palay
522,91,41,41,21.9989826,68.6428593,66.85510868,Palay
523,84,55,37,22.99774444,63.90164154,68.02199825,Palay
524,70,49,36,30.55992394,60.424786,73.67166182,Palay
525,71,44,39,31.46417866,63.58337146,73.84949872,Palay
526,89,44,41,25.95058595,67.62779652,69.28607828,Palay
527,82,45,40,21.01142393,63.83179889,64.55882254,Palay
528,64,47,41,19.25100056,66.32102048,67.53021213,Palay
529,83,53,36,19.24462755,91.63536236,66.63830637,Palay
530,85,57,40,22.47253208,89.93701023,70.86340755,Palay
531,67,48,38,36.75087487,87.4024767,67.1367443,Palay
532,68,45,38,29.89286629,94.5110662,68.97097538,Palay
533,68,55,36,29.37735586,89.90147027,69.75555541,Mais
534,91,50,40,29.65052947,92.40501423,71.50569456,Mais
535,66,37,38,19.54284889,89.3259486,61.91208707,Mais
536,82,51,40,20.04611791,91.45498527,74.01229707,Mais
537,87,53,40,27.91095209,94.27659596,74.91559514,Mais
538,91,40,38,27.32220619,92.68328358,71.78615328,Mais
539,68,46,38,28.66024187,85.19098079,63.02473185,Mais
540,65,47,36,29.02955344,85.63608688,61.19250859,Mais
541,69,56,40,27.78031515,86.35590206,65.62859526,Mais
542,78,55,38,31.99928579,93.7974061,63.49726331,Mais
543,67,36,37,27.33580911,89.73266695,65.81655892,Mais
544,72,41,38,28.92952635,89.08935702,70.1415139,Mais
545,86,39,42,27.65472156,92.30882391,74.61649888,Mais
546,72,38,36,28.52396666,94.88267728,65.820457,Mais
547,40,37,39,31.02215872,88.16779129,69.24464096,Mais
548,41,37,39,25.74095321,89.61794165,70.88787207,Mais
549,38,45,40,31.70447482,89.9224883,61.46892873,Mais
550,39,55,41,24.47876451,94.79397419,64.72797143,Mais
551,40,50,41,31.46511256,89.31505137,62.3061735,Mais
552,41,37,37,25.60973447,91.11927248,69.85112265,Mais
553,36,51,40,30.30260453,89.75272999,73.58663968,Mais
554,39,53,42,28.17489437,91.19442671,66.37171179,Mais
555,39,40,40,25.50634557,87.31290342,74.86960831,Mais
556,68,46,40,31.12896766,91.34039616,65.66436565,Mais
557,71,47,42,26.34043268,89.68919664,60.4693835,Mais
558,64,56,42,28.23494706,88.92944254,72.43169115,Mais
559,84,55,39,27.04453473,90.83687246,63.57445989,Mais
560,71,36,41,25.16125354,89.93457597,70.25496749,Mais
561,89,41,39,27.3179125,90.29751796,71.48327008,Palay
562,90,39,36,25.4123765,87.74938524,63.1830529,Palay
563,78,38,39,31.21629982,94.95031368,70.27184748,Palay
564,66,37,41,30.573999,89.64934166,60.41790253,Palay
565,81,37,40,25.42517036,87.84034604,72.17818157,Palay
566,65,36,41,27.09400578,94.25702672,67.83345933,Palay
567,87,42,36,24.30935081,93.87030088,70.0866434,Palay
568,75,41,39,30.06142622,85.56083187,69.40878198,Palay
569,64,45,39,28.09568993,87.59629625,62.30278274,Palay
570,70,43,41,26.33908791,93.0569505,61.16350463,Palay
571,86,47,37,28.05153602,88.1508343,71.72980375,Palay
572,67,56,42,19.44084326,89.38003827,69.43895491,Palay
573,79,55,36,29.84823072,85.56033312,68.91754359,Palay
574,80,50,41,21.36383757,91.90842992,63.85668948,Palay
575,88,37,40,26.28663931,87.95158129,61.71111448,Palay
576,64,51,38,22.17499963,90.3396556,67.47677295,Palay
577,70,53,42,26.57597546,85.12912161,65.24194361,Palay
578,75,40,38,26.58972517,85.40695044,74.24459122,Palay
579,71,55,38,19.1345771,89.39686219,69.5274407,Palay
580,66,36,40,28.75273118,93.13277,71.36947525,Palay
581,83,41,36,25.78746268,94.26304717,68.64685069,Palay
582,83,39,41,23.89271875,91.12282162,73.44678678,Palay
583,71,38,39,28.67408774,89.7870345,67.32520551,Palay
584,71,37,38,28.42062847,90.88292835,73.40452716,Palay
585,78,37,42,21.35499456,88.71691157,69.46020927,Mais
586,90,41,41,21.12695586,86.19740917,74.62068748,Mais
587,69,55,39,24.02037872,93.14554876,71.21006868,Mais
588,91,49,40,25.40474421,89.61850203,64.32887142,Palay
589,70,44,40,29.03017561,93.34236582,63.29900785,Palay
590,66,44,39,20.21368219,85.42912869,69.68862306,Palay
591,77,45,40,29.19585548,87.22815682,63.51822045,Palay
592,77,47,36,18.29783597,91.61793636,64.11411069,Palay
593,84,53,39,27.41434987,86.10874614,63.46546487,Palay
594,89,57,41,24.84063998,90.64498715,63.02169909,Palay
595,82,48,40,29.94413861,92.03009222,72.50669768,Palay
596,64,45,40,25.87990287,89.01574455,70.40795007,Palay
597,83,55,38,20.0467711,90.97819712,62.78730907,Palay
598,85,50,38,22.99451999,94.63612858,46.13833007,Palay
599,67,37,36,25.13163619,86.34233767,53.46622584,Palay
600,68,51,40,28.49584395,88.48567856,50.89110726,Palay
601,68,51,38,18.28766124,94.94330457,50.90994463,Palay
602,91,53,40,24.38041875,87.1775172,36.46946971,Mais
603,66,40,40,21.31852148,88.83768149,35.15426171,Palay
604,82,46,38,18.54141834,90.88612388,49.14337177,Palay
605,87,47,38,25.28710601,88.87651295,52.55730112,Palay
606,91,56,36,25.43459777,94.46485312,42.96018627,Mais
607,68,55,40,28.83600962,86.88738076,49.02366803,Mais
608,87,36,38,27.37659643,90.42177379,41.78219834,Mais
609,83,41,37,28.31886863,91.08706822,38.71834464,Palay
610,64,39,38,27.4818649,94.42971362,49.78102578,Palay
611,84,38,42,18.28072173,92.97527546,51.92057267,Palay
612,71,45,36,27.61204997,89.02127045,54.9393771,Palay
613,68,47,39,23.43974653,92.51675903,50.89732989,Palay
614,71,53,39,20.95628486,94.99897537,44.93261911,Mais
615,64,57,40,23.7937153,89.24126808,49.39111479,Palay
616,84,48,41,22.6371424,88.45577158,44.43177543,Palay
617,71,45,41,21.53577883,86.79058496,48.77790371,Palay
618,89,55,37,29.87854588,35.6395615,40.37113729,Palay
619,90,50,40,25.2653291,32.45974539,47.89645224,Palay
620,78,37,36,25.17885316,51.29019509,46.05333124,Palay
621,66,51,38,24.12192608,38.83786012,54.49044154,Palay
622,81,51,37,23.33565221,44.93322042,49.04015558,Mais
623,65,53,41,21.74600081,57.3414485,53.14531023,Mais
624,87,40,40,27.60195453,48.41490082,48.60449438,Mais
625,75,46,42,24.388717,60.54880693,53.13946695,Palay
626,64,47,36,24.98287462,59.33157782,45.42616802,Palay
627,70,41,41,28.234829,62.4901206,44.07819743,Palay
628,86,52,40,26.03026959,43.61444121,49.37369982,Palay
629,67,37,38,28.04849594,47.2879691,41.02682925,Palay
630,82,58,39,24.87425505,40.7192594,44.08562546,Mais
631,87,55,44,23.97081395,66.68832981,49.47371773,Palay
632,91,53,36,20.06003985,61.33186249,45.36521251,Palay
633,68,52,41,19.59221047,63.46513414,37.81123974,Palay
634,87,58,40,29.77013109,39.37252634,48.80253285,Palay
635,83,36,42,27.52135365,56.01334416,42.72374404,Palay
636,64,48,36,25.62896213,35.39454002,45.40277297,Palay
